projectid	sampleid	lane	r1	r2
RU40979	SQ6063	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6063_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6063_L004_R2_001.fastq.gz
RU40979	SQ6064	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6064_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6064_L001_R2_001.fastq.gz
RU40979	SQ6064	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6064_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6064_L002_R2_001.fastq.gz
RU40979	SQ6064	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6064_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6064_L003_R2_001.fastq.gz
RU40979	SQ6064	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6064_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6064_L004_R2_001.fastq.gz
RU40979	SQ6065	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6065_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6065_L001_R2_001.fastq.gz
RU40979	SQ6065	L002	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6065_L002_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6065_L002_R2_001.fastq.gz
RU40979	SQ6065	L003	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6065_L003_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6065_L003_R2_001.fastq.gz
RU40979	SQ6065	L004	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6065_L004_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6065_L004_R2_001.fastq.gz
RU40979	SQ6066	L001	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6066_L001_R1_001.fastq.gz	/locus/data/analysis_results/1940000/1947061/AT2950926_BCL2FASTQ-RU40979/output/SQ6066_L001_R2_001.fastq.gz
